2025-06-19 23:23:38,960 [INFO] C:\Users\asd\Desktop\CollaborationTool-back\users\views\login_view.py changed, reloading.
2025-06-19 23:23:58,006 [WARNING] Unauthorized: /api/login/
2025-06-19 23:24:01,690 [WARNING] Unauthorized: /api/login/
2025-06-19 23:24:11,275 [WARNING] Unauthorized: /api/login/
2025-06-19 23:24:15,377 [WARNING] Unauthorized: /api/login/
2025-06-19 23:24:15,550 [WARNING] Unauthorized: /api/login/
2025-06-19 23:24:31,732 [WARNING] Unauthorized: /api/login/
2025-06-19 23:24:32,500 [WARNING] Unauthorized: /api/login/
2025-06-19 23:24:33,197 [WARNING] Unauthorized: /api/login/
2025-06-19 23:24:33,534 [WARNING] Unauthorized: /api/login/
2025-06-19 23:24:33,710 [WARNING] Unauthorized: /api/login/
2025-06-19 23:28:33,051 [INFO] C:\Users\asd\Desktop\CollaborationTool-back\users\views\login_view.py changed, reloading.
2025-06-19 23:29:40,072 [WARNING] Not Found: /api/tasks/todo/2
2025-06-19 23:29:40,074 [WARNING] Not Found: /api/tasks/todo/undefined
2025-06-19 23:29:40,077 [WARNING] Not Found: /api/getprojects
2025-06-19 23:29:40,623 [WARNING] Not Found: /api/tasks/todo/undefined
2025-06-19 23:29:50,080 [WARNING] Not Found: /api/getprojects
2025-06-19 23:29:50,093 [WARNING] Not Found: /api/tasks/todo/3
2025-06-19 23:29:50,507 [WARNING] Not Found: /api/tasks/todo/4
2025-06-19 23:29:50,511 [WARNING] Not Found: /api/getprojects
2025-06-19 23:29:52,656 [WARNING] Not Found: /api/task/card-1
2025-06-19 23:29:53,218 [WARNING] Not Found: /api/task/card-1
2025-06-19 23:31:11,514 [INFO] C:\Users\asd\Desktop\CollaborationTool-back\users\views\login_view.py changed, reloading.
2025-06-19 23:31:38,359 [WARNING] Unauthorized: /api/login/
2025-06-19 23:32:11,920 [WARNING] Unauthorized: /api/login/
2025-06-19 23:32:26,711 [WARNING] Not Found: /api/task/card-1
